Code,Year,Slope,Change
C36159_SCSABT,2008,4.996,706.0
C36159_SCSAMT,2008,-71.054,-68.0
C36159_SCSATT,2008,-13.323,-67.0
C36159_SPBT,2008,-0.043,-68400.0
C36159_SPMT,2008,-0.442,-38600.0
C36159_SPTT,2008,-0.156,-98400.0
C36159_FOR10K,2008,710.543,12.309999999999999
C36159_SCSABT,2009,-8.882,-682.0
C36159_SCSAMT,2009,0.0,350.0
C36159_SCSATT,2009,-4.441,-234.0
C36159_SPBT,2009,0.156,26700.0
C36159_SPMT,2009,-0.069,-47000.0
C36159_SPTT,2009,0.035,63700.0
C36159_FOR10K,2009,284.217,9.26
C36159_SCSABT,2010,-2.22,-225.0
C36159_SCSAMT,2010,31.086,214.0
C36159_SCSATT,2010,106.581,98.0
C36159_SPBT,2010,0.278,13300.0
C36159_SPMT,2010,-0.278,-10600.0
C36159_SPTT,2010,0.035,38400.0
C36159_FOR10K,2010,213.163,7.399999999999999
C36159_SCSABT,2011,17.764,414.0
C36159_SCSAMT,2011,0.0,161.0
C36159_SCSATT,2011,-35.527,-116.0
C36159_SPBT,2011,-0.486,-6500.0
C36159_SPMT,2011,0.208,11800.0
C36159_SPTT,2011,0.121,32600.0
C36159_FOR10K,2011,355.271,14.05
C36159_SCSABT,2012,-4.441,-497.0
C36159_SCSAMT,2012,0.0,163.0
C36159_SCSATT,2012,0.0,241.0
C36159_SPBT,2012,0.694,10900.0
C36159_SPMT,2012,-0.278,-18800.0
C36159_SPTT,2012,-0.009,-70100.0
C36159_FOR10K,2012,0.0,4.279999999999999
C36159_SCSABT,2013,17.764,128.0
C36159_SCSAMT,2013,0.0,210.0
C36159_SCSATT,2013,35.527,221.0
C36159_SPBT,2013,-0.347,-12500.0
C36159_SPMT,2013,0.104,33500.0
C36159_SPTT,2013,-0.017,-42800.0
C36159_FOR10K,2013,1989.52,2.54
C36159_SCSABT,2014,-17.764,-126.0
C36159_SCSAMT,2014,71.054,44.0
C36159_SCSATT,2014,159.872,65.0
C36159_SPBT,2014,-0.278,-6500.0
C36159_SPMT,2014,-0.278,-9900.0
C36159_SPTT,2014,-0.208,-35400.0
C36159_FOR10K,2014,2273.737,0.9600000000000002
C36159_SCSABT,2015,0.0,145.0
C36159_SCSAMT,2015,-53.291,-137.0
C36159_SCSATT,2015,-62.172,-104.0
C36159_SPBT,2015,-0.208,-17900.0
C36159_SPMT,2015,-0.416,-14600.0
C36159_SPTT,2015,-0.173,-30700.0
C36159_FOR10K,2015,24158.453,0.7300000000000001
C36159_SCSABT,2016,-106.581,-107.0
C36159_SCSAMT,2016,-39.968,-117.0
C36159_SCSATT,2016,-17.764,-126.0
C36159_SPBT,2016,0.0,22700.0
C36159_SPMT,2016,-0.416,-11200.0
C36159_SPTT,2016,-0.278,-33700.0
C36159_FOR10K,2016,0.0,0.65
C36159_SCSABT,2017,79.936,60.0
C36159_SCSAMT,2017,44.409,157.0
C36159_SCSATT,2017,24.425,114.0
C36159_SPBT,2017,0.0,19800.0
C36159_SPMT,2017,-0.278,-15900.0
C36159_SPTT,2017,0.173,33300.0
C36159_FOR10K,2017,0.0,0.9000000000000001
