Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1999,1578066,1584222,1585224,1580055,1588296,1596756,1604886,1595958,1600052,1604937,1614940,1622822
2000,1593471,1602769,1599895,1607478,1598814,1610811,1605966,1606272,1620675,1627557,1633557,1647067
2001,1636850,1648610,1651014,1649485,1647023,1650118,1654691,1642867,1659968,1668426,1667790,1673006
2002,1654868,1675135,1675100,1678397,1680127,1688556,1689100,1694967,1707218,1708424,1710633,1709692
2003,1697363,1710594,1712821,1724357,1725624,1736581,1729695,1729691,1736622,1749473,1762317,1765233
2004,1753874,1762375,1762380,1769489,1772710,1783492,1796584,1790883,1796539,1812156,1821557,1824292
2005,1814437,1822286,1827021,1844704,1849858,1860494,1870868,1875603,1882879,1898907,1905650,1909234
2006,1901250,1913561,1922139,1928931,1936819,1946039,1953536,1958179,1966730,1984257,1988557,1993927
2007,1975145,1978324,1983747,1977695,1980485,1990231,1989870,1986239,1996647,1997239,2006408,1999262
2008,1993471,1991054,1988239,1989849,1979651,1978204,1965921,1966181,1971910,1978295,1973787,1958144
2009,1929842,1928190,1918768,1923204,1908015,1903307,1893012,1878273,1875567,1875513,1883069,1866026
2010,1869615,1874869,1878510,1892588,1880880,1873990,1863136,1863279,1870834,1873228,1873822,1873316
2011,1861415,1865691,1873061,1874253,1868695,1855523,1847043,1850762,1864723,1876642,1885736,1887097
2012,1874555,1885876,1891035,1891991,1890486,1886259,1878124,1880089,1903003,1913210,1913745,1914778
2013,1901053,1911346,1912337,1916742,1916595,1912777,1904422,1906027,1924789,1919452,1944685,1946512
2014,1953341,1964689,1982414,1980626,1978109,1981287,1975893,1982457,2003395,2021500,2035751,2033919
2015,2034569,2045728,2050610,2056049,2060911,2057488,2058016,2062225,2073948,2087268,2101642,2101329
2016,2105712,2123264,2131239,2124317,2127634,2126152,2132749,2137298,2154421,2162529,2180458,2172226
2017,2174954,2193379,2203637,2208570,2202374,2208812,2215506,2215958,2244514,2240720,2259862,2252445
2018,2254317,2282747,2288154,2286777,2291580,2292952,2306538,2297320,2327702,2338006,2357448,2354244
2019,2347408,2366730,2361436,2359228,2365751,2391380,2392982,2389376,,,,
